benchmark,input,variant,median_s,lo_s,hi_s,improvement_pct_vs_baseline
collatz,1,untouched,3.5859,3.5592,3.6149,0.00
collatz,1,32-reg,3.3998,3.3617,3.4382,5.19
collatz,1,v-reg,3.5187,3.4824,3.5558,1.87
collatz,1,no-reg,3.4669,3.4483,3.4862,3.32
collatz,10,untouched,3.5873,3.5642,3.6197,0.00
collatz,10,32-reg,3.4593,3.3999,3.5221,3.57
collatz,10,v-reg,3.4291,3.3958,3.4717,4.41
collatz,10,no-reg,3.5008,3.4734,3.5297,2.41
collatz,20,untouched,3.6041,3.5795,3.6350,0.00
collatz,20,32-reg,3.4591,3.4292,3.4913,4.02
collatz,20,v-reg,3.5196,3.4963,3.5409,2.34
collatz,20,no-reg,3.4705,3.4537,3.4901,3.71
collatz,25,untouched,3.6425,3.6280,3.6582,0.00
collatz,25,32-reg,3.4666,3.4411,3.4973,4.83
collatz,25,v-reg,3.5765,3.5421,3.6107,1.81
collatz,25,no-reg,3.5196,3.5053,3.5352,3.37
