variant,benchmark,input_value,input_metric,group,name,time_lo_s,time_mid_s,time_hi_s,units
32-reg,collatz,1,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,1,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,1,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,1,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,1,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,1,n,preprocess,setup,2.492000,2.590000,2.800000,s
32-reg,collatz,1,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,1,n,prove,il_wit,0.003000,0.003000,0.004000,s
32-reg,collatz,1,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,1,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,1,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,1,n,prove,r1cs_polys,0.001000,0.002000,0.002000,s
32-reg,collatz,1,n,prove,r1cs_aux,0.000000,0.000000,0.001000,s
32-reg,collatz,1,n,prove,commit,0.012000,0.012000,0.013000,s
32-reg,collatz,1,n,prove,bytecode,0.009000,0.009000,0.010000,s
32-reg,collatz,1,n,prove,il,0.310000,0.313000,0.315000,s
32-reg,collatz,1,n,prove,rwm,0.056000,0.060000,0.062000,s
32-reg,collatz,1,n,prove,spartan,0.017000,0.017000,0.018000,s
32-reg,collatz,1,n,prove,openings,0.181000,0.186000,0.188000,s
32-reg,collatz,1,n,verify,bytecode,0.001000,0.001000,0.002000,s
32-reg,collatz,1,n,verify,instruction_lookups,0.013000,0.014000,0.015000,s
32-reg,collatz,1,n,verify,memory,0.008000,0.009000,0.010000,s
32-reg,collatz,2,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,2,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,2,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,2,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,2,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,2,n,preprocess,setup,2.527000,2.574000,2.665000,s
32-reg,collatz,2,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,2,n,prove,il_wit,0.003000,0.004000,0.005000,s
32-reg,collatz,2,n,prove,rwm_wit,0.001000,0.001000,0.001000,s
32-reg,collatz,2,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,2,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,2,n,prove,r1cs_polys,0.003000,0.003000,0.003000,s
32-reg,collatz,2,n,prove,r1cs_aux,0.000000,0.001000,0.002000,s
32-reg,collatz,2,n,prove,commit,0.014000,0.014000,0.015000,s
32-reg,collatz,2,n,prove,bytecode,0.010000,0.010000,0.011000,s
32-reg,collatz,2,n,prove,il,0.310000,0.316000,0.320000,s
32-reg,collatz,2,n,prove,rwm,0.061000,0.062000,0.065000,s
32-reg,collatz,2,n,prove,spartan,0.022000,0.022000,0.023000,s
32-reg,collatz,2,n,prove,openings,0.184000,0.186000,0.189000,s
32-reg,collatz,2,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,2,n,verify,instruction_lookups,0.013000,0.014000,0.015000,s
32-reg,collatz,2,n,verify,memory,0.009000,0.009000,0.011000,s
32-reg,collatz,3,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,3,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,3,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,3,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,3,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,3,n,preprocess,setup,2.518000,2.565000,2.624000,s
32-reg,collatz,3,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,3,n,prove,il_wit,0.003000,0.004000,0.004000,s
32-reg,collatz,3,n,prove,rwm_wit,0.001000,0.001000,0.002000,s
32-reg,collatz,3,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,3,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,3,n,prove,r1cs_polys,0.003000,0.003000,0.003000,s
32-reg,collatz,3,n,prove,r1cs_aux,0.000000,0.001000,0.001000,s
32-reg,collatz,3,n,prove,commit,0.014000,0.015000,0.016000,s
32-reg,collatz,3,n,prove,bytecode,0.010000,0.011000,0.011000,s
32-reg,collatz,3,n,prove,il,0.312000,0.315000,0.319000,s
32-reg,collatz,3,n,prove,rwm,0.061000,0.063000,0.065000,s
32-reg,collatz,3,n,prove,spartan,0.024000,0.025000,0.025000,s
32-reg,collatz,3,n,prove,openings,0.185000,0.188000,0.192000,s
32-reg,collatz,3,n,verify,bytecode,0.001000,0.001000,0.002000,s
32-reg,collatz,3,n,verify,instruction_lookups,0.014000,0.014000,0.016000,s
32-reg,collatz,3,n,verify,memory,0.009000,0.009000,0.010000,s
32-reg,collatz,4,n,preprocess,shapes,0.000000,0.000000,0.000000,s
32-reg,collatz,4,n,preprocess,il_pp,0.009000,0.009000,0.009000,s
32-reg,collatz,4,n,preprocess,rwm_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,4,n,preprocess,bc_rows,0.000000,0.000000,0.000000,s
32-reg,collatz,4,n,preprocess,bc_pp,0.000000,0.000000,0.000000,s
32-reg,collatz,4,n,preprocess,setup,2.569000,2.623000,2.696000,s
32-reg,collatz,4,n,prove,preamble,0.000000,0.000000,0.000000,s
32-reg,collatz,4,n,prove,il_wit,0.003000,0.004000,0.004000,s
32-reg,collatz,4,n,prove,rwm_wit,0.001000,0.001000,0.002000,s
32-reg,collatz,4,n,prove,wit_join,0.000000,0.000000,0.000000,s
32-reg,collatz,4,n,prove,r1cs_setup,0.004000,0.004000,0.004000,s
32-reg,collatz,4,n,prove,r1cs_polys,0.003000,0.003000,0.003000,s
32-reg,collatz,4,n,prove,r1cs_aux,0.001000,0.001000,0.002000,s
32-reg,collatz,4,n,prove,commit,0.014000,0.015000,0.015000,s
32-reg,collatz,4,n,prove,bytecode,0.010000,0.011000,0.011000,s
32-reg,collatz,4,n,prove,il,0.313000,0.316000,0.320000,s
32-reg,collatz,4,n,prove,rwm,0.060000,0.064000,0.066000,s
32-reg,collatz,4,n,prove,spartan,0.022000,0.023000,0.024000,s
32-reg,collatz,4,n,prove,openings,0.185000,0.186000,0.192000,s
32-reg,collatz,4,n,verify,bytecode,0.001000,0.002000,0.002000,s
32-reg,collatz,4,n,verify,instruction_lookups,0.013000,0.014000,0.014000,s
32-reg,collatz,4,n,verify,memory,0.009000,0.010000,0.010000,s
32-reg,collatz,5,n,preprocess,shapes,0.000000,0.000000,0.000000,s
