benchmark,input,variant,median_s,lo_s,hi_s,improvement_pct_vs_baseline
collatz,1,untouched,3.2786,3.2639,3.2964,0.00
collatz,1,32-reg,3.4186,3.3946,3.4461,-4.27
collatz,1,v-reg,3.4701,3.4526,3.4897,-5.84
collatz,1,no-reg,3.0816,3.0584,3.1088,6.01
collatz,1,mem-batch,3.4476,3.4214,3.4785,-5.15
collatz,10,untouched,3.2219,3.2033,3.2458,0.00
collatz,10,32-reg,3.4246,3.3993,3.4512,-6.29
collatz,10,v-reg,3.5136,3.4963,3.5346,-9.05
collatz,10,no-reg,3.1100,3.0817,3.1427,3.47
collatz,10,mem-batch,3.4604,3.4378,3.4866,-7.40
collatz,20,untouched,3.2392,3.2120,3.2820,0.00
collatz,20,32-reg,3.4133,3.3912,3.4367,-5.37
collatz,20,v-reg,3.5305,3.5055,3.5647,-8.99
collatz,20,no-reg,3.1066,3.0812,3.1435,4.09
collatz,20,mem-batch,3.5094,3.4866,3.5357,-8.34
collatz,25,untouched,3.4483,3.4291,3.4746,0.00
collatz,25,32-reg,3.5365,3.5105,3.5673,-2.56
collatz,25,v-reg,3.6215,3.6023,3.6416,-5.02
collatz,25,no-reg,3.1537,3.1440,3.1651,8.54
collatz,25,mem-batch,3.5311,3.5032,3.5611,-2.40
