benchmark,input,variant,median_s,lo_s,hi_s,improvement_pct_vs_baseline
fibonacci,100,untouched,3.6664,3.6382,3.6988,0.00
fibonacci,100,32-reg,3.7615,3.7317,3.7941,-2.59
fibonacci,100,v-reg,3.6177,3.5822,3.6544,1.33
fibonacci,100,no-reg,3.4968,3.4673,3.5360,4.63
fibonacci,100,mem-batch,3.5566,3.5484,3.5667,2.99
fibonacci,1000,untouched,3.8192,3.7927,3.8469,0.00
fibonacci,1000,32-reg,4.0158,3.9823,4.0488,-5.15
fibonacci,1000,v-reg,4.0136,3.9707,4.0608,-5.09
fibonacci,1000,no-reg,3.6038,3.5907,3.6229,5.64
fibonacci,1000,mem-batch,3.8852,3.8637,3.9135,-1.73
fibonacci,10000,untouched,4.9655,4.9148,5.0136,0.00
fibonacci,10000,32-reg,6.5536,6.5165,6.5950,-31.98
fibonacci,10000,v-reg,7.2879,7.2445,7.3350,-46.77
fibonacci,10000,no-reg,4.5822,4.5403,4.6296,7.72
fibonacci,10000,mem-batch,6.5476,6.5067,6.5914,-31.86
fibonacci,20000,untouched,6.1644,6.1187,6.2149,0.00
fibonacci,20000,32-reg,9.0989,8.9986,9.1887,-47.60
fibonacci,20000,v-reg,11.4520,11.3830,11.5220,-85.78
fibonacci,20000,no-reg,5.7151,5.6757,5.7579,7.29
fibonacci,20000,mem-batch,9.3226,9.1907,9.4308,-51.23
fibonacci,40000,untouched,9.2400,9.0715,9.4062,0.00
fibonacci,40000,32-reg,14.6600,14.5610,14.7560,-58.66
fibonacci,40000,v-reg,19.9720,19.8960,20.0470,-116.15
fibonacci,40000,no-reg,8.3188,8.1886,8.4510,9.97
fibonacci,40000,mem-batch,15.7760,15.7260,15.8260,-70.74
